,"(2016, 2017)","(2017, 2018)","(2018, 2019)","(2019, 2020)","(2020, 2021)"
Information Technology (IT),0.995,0.931,0.001,0.115,0.931
Others,0.212,0.444,0.537,0.040,0.765
Garments/ Textile,0.409,0.195,0.940,0.037,0.095
Telecommunication,0.989,0.124,0.017,0.007,0.981
Education,0.000,0.962,0.124,0.866,0.209
NGO/Development,0.628,0.631,0.327,0.293,0.134
Manufacturing (Heavy Industry),1.000,0.359,0.043,0.155,0.883
Bank/ Non-Bank Fin. Institution,0.943,0.500,0.366,0.996,0.000
Govt./ Semi-Govt./ Autonomous,0.435,0.078,0.699,0.831,0.889
Wholesale/ Retail/ Export-Import,0.378,0.787,0.214,0.391,0.147
