,"(2016, 2017)","(2017, 2018)","(2018, 2019)","(2019, 2020)","(2020, 2021)"
Information Technology (IT),0.464,0.000,0.000,0.564,0.019
Others,0.865,0.000,0.000,0.209,0.793
Telecommunication,0.097,0.000,0.000,0.393,0.877
Garments/ Textile,0.336,0.000,0.000,0.932,0.226
Education,0.360,0.000,0.001,0.246,0.541
NGO/Development,0.958,0.000,0.000,0.976,0.285
Manufacturing (Heavy Industry),0.079,0.000,0.000,0.981,0.564
Bank/ Non-Bank Fin. Institution,,0.000,0.000,0.876,0.009
Govt./ Semi-Govt./ Autonomous,0.921,0.023,0.125,0.134,0.034
Electronics/ Consumer Durables,0.160,0.000,0.010,0.396,0.100
